Sale ID,Model,Color,Manufacture Year,Sale Year,State,Sale Price USD,Customer Age,Gender,Sales Channel,Payment Method,Delivery Status,Delivery Days,Battery Capacity kWh,Range km,Charging Time (Hrs),Service Plan Opted,Warranty Years,Referral Code Used,Trade In Used
SALE100015,Model X,Blue,2022,2023,Illinois,49078.79,20,Female,Third-party Dealer,Lease,Delivered,29,85,469.5,6.59,Yes,5,No,No
SALE100016,Model 3,Blue,2024,2021,Texas,49166.91,74,Female,Online,Cash,Delivered,10,75,456.5,5.69,No,6,No,No
SALE100017,Model 3,Red,2021,2024,California,31783.3,53,Male,Online,Loan,Delivered,1,100,403.7,2.58,Yes,4,No,No
SALE100018,Model Y,Silver,2024,2020,New York,65638.36,55,Male,Online,Cash,Delivered,8,60,440,10.14,No,5,Yes,No
SALE100019,Model 3,White,2020,2020,Texas,86086.05,59,Male,Online,Loan,Pending,1,75,411.6,2.27,No,5,Yes,No
SALE100021,Model Y,Black,2024,2021,Florida,72061.36,41,Female,In-store,Lease,Delivered,5,75,494.8,1.22,No,6,Yes,Yes
SALE100022,Cybertruck,Silver,2024,2024,Florida,55464.12,31,Male,In-store,Cash,Delivered,16,85,490.7,6.76,Yes,5,No,No
SALE100023,Model 3,Black,2020,2022,Texas,27700.58,47,Female,Online,Loan,Delivered,16,85,440.4,3.21,Yes,6,No,No
SALE100024,Model S,Silver,2023,2023,Washington,97254.15,39,Female,Online,Cash,Delivered,6,60,491.2,3.07,No,4,No,No
SALE100025,Model Y,White,2024,2022,California,23555.44,49,Female,Third-party Dealer,Cash,Pending,19,75,326.4,7.45,Yes,5,Yes,No
SALE100027,Model Y,Red,2023,2023,California,47860.34,47,Male,Online,Lease,Delivered,28,75,367.8,7.54,No,4,No,No
SALE100028,Model Y,White,2023,2021,California,42650.5,50,Female,Online,Loan,Delivered,16,60,521.5,4.61,Yes,6,No,No
SALE100029,Model S,White,2019,2020,California,38570.71,22,Male,Online,Lease,Delivered,23,75,312.7,11.97,No,6,No,No
SALE100030,Model Y,Red,2023,2020,Texas,17680.01,45,Male,Online,Cash,Pending,19,75,566.9,7.6,No,4,No,No
SALE100032,Model Y,White,2020,2022,New York,63045.06,61,Male,In-store,Loan,Delivered,12,50,523.2,7.83,No,5,Yes,No
SALE100033,Model 3,White,2021,2021,California,60741.96,57,Female,Online,Cash,Delivered,17,50,527.7,9.64,Yes,5,No,No
SALE100034,Model Y,White,2020,2022,Texas,75202.27,27,Female,Online,Cash,Delivered,5,60,517.6,1.64,No,4,No,No
SALE100035,Cybertruck,Blue,2018,2019,California,40798.07,25,Female,In-store,Loan,Pending,24,100,422.6,7.28,No,5,Yes,No
SALE100036,Model 3,Silver,2020,2021,Texas,45501.03,48,Female,Online,Cash,Delivered,28,60,466.7,8.92,Yes,3,No,No
SALE100037,Model Y,Black,2024,2021,Texas,42470.65,68,Male,Online,Lease,Delivered,8,100,365.5,5.8,Yes,3,No,No
SALE100039,Model 3,Silver,2024,2024,Florida,35872.88,20,Male,Online,Lease,Delivered,29,75,399.9,7.66,Yes,5,Yes,No
SALE100040,Model Y,Black,2024,2022,Texas,42188.84,29,Male,Online,Cash,Delivered,25,75,382.2,0.76,Yes,2,Yes,No
SALE100041,Model Y,Black,2024,2023,Texas,70871.88,36,Male,In-store,Lease,Delivered,4,75,495.3,5.14,Yes,4,No,No
SALE100042,Model 3,Blue,2024,2020,Texas,70777.25,47,Female,In-store,Lease,Delivered,6,85,501.4,0.57,Yes,4,No,No
SALE100043,Model 3,Blue,2020,2020,Texas,45644.15,55,Male,Third-party Dealer,Loan,Delivered,1,60,451.8,10.72,Yes,3,No,No
SALE100044,Model S,White,2019,2023,Texas,65876.77,55,Female,In-store,Lease,Delivered,5,60,503.4,11.27,Yes,3,No,No
SALE100045,Model 3,Silver,2024,2021,Florida,12794.79,42,Male,Online,Cash,Delivered,18,75,454.8,6.14,Yes,2,Yes,No
SALE100046,Cybertruck,Red,2023,2024,New York,64439.34,21,Male,Online,Cash,Delivered,29,60,545.4,10.96,Yes,7,Yes,No
SALE100047,Model 3,Silver,2024,2024,New York,47792.13,57,Male,Online,Loan,Delivered,1,75,464.3,9.57,No,5,No,No
SALE100048,Model Y,Red,2023,2020,California,52666.79,73,Male,Online,Cash,Delivered,29,85,482.8,6.85,Yes,3,Yes,No
SALE100049,Model 3,Black,2024,2023,California,65697.15,36,Female,Online,Lease,Delivered,27,60,345.3,5.58,Yes,5,No,Yes
SALE100050,Model 3,Black,2022,2021,Washington,70502.29,52,Female,Online,Lease,Pending,13,75,463.6,10.48,No,2,No,No
SALE100051,Model Y,White,2022,2024,Texas,52053.71,36,Female,Online,Cash,Delivered,29,50,523.9,0.95,Yes,7,No,No
SALE100052,Cybertruck,White,2020,2021,California,52216.18,38,Male,Online,Cash,Cancelled,14,75,493.1,3.33,Yes,5,Yes,Yes
SALE100053,Model 3,Silver,2022,2024,California,56237.09,65,Female,In-store,Cash,Pending,25,60,470.1,11.86,No,6,Yes,No
SALE100054,Model Y,Silver,2015,2024,California,28501.33,21,Female,Online,Lease,Delivered,18,100,556.8,7.89,No,5,Yes,No
SALE100055,Model Y,Black,2023,2019,California,23828.84,57,Female,Online,Cash,Pending,9,100,543.7,2.41,Yes,6,No,No
SALE100056,Model X,Red,2020,2024,Illinois,56660.36,48,Male,Online,Cash,Delivered,12,50,600.7,0.77,Yes,4,No,No
SALE100058,Model X,Red,2024,2022,Washington,83180.92,74,Male,In-store,Lease,Delivered,14,75,384,8.3,Yes,5,No,No
SALE100059,Model S,Red,2024,2021,Florida,75283.88,38,Female,Third-party Dealer,Lease,Delivered,24,50,366.6,12,No,4,No,No
SALE100060,Model 3,White,2024,2021,Florida,59350.49,71,Female,In-store,Loan,Delivered,19,75,495.4,8.57,Yes,7,No,No
SALE100061,Model Y,Black,2023,2019,Illinois,51600.09,49,Male,Online,Loan,Delivered,9,75,349.3,6.88,No,5,No,No
SALE100062,Model 3,Black,2024,2022,California,56628.66,21,Female,Online,Cash,Delivered,7,85,414.5,7.2,No,5,No,No
SALE100063,Model 3,Black,2024,2022,California,51387.12,40,Male,Online,Cash,Delivered,2,50,598.5,7.95,No,7,No,No
SALE100064,Model 3,Silver,2020,2019,Texas,81883.36,19,Male,Online,Lease,Delivered,27,60,506.1,2.65,Yes,4,No,No
SALE100065,Model Y,Blue,2024,2022,Texas,48970.56,19,Female,In-store,Cash,Pending,24,75,473.7,8.79,No,3,No,No
SALE100066,Model Y,White,2024,2023,Florida,71351.66,48,Female,Online,Cash,Delivered,12,60,544.3,7.45,No,3,No,No
SALE100068,Model Y,Black,2019,2023,Illinois,67820.5,49,Female,Online,Loan,Delivered,22,100,450.5,2.71,No,5,No,No
SALE100069,Model 3,White,2024,2021,Florida,59795.79,32,Female,Online,Loan,Delivered,3,100,496.3,9.47,No,4,No,No
SALE100070,Model 3,Silver,2021,2023,New York,41194.1,73,Male,Online,Cash,Delivered,18,75,463.6,5.35,Yes,4,No,No
SALE100071,Model X,White,2024,2018,California,103120.24,49,Male,In-store,Cash,Pending,29,75,395.3,6.01,No,3,No,No
SALE100072,Model 3,White,2021,2019,California,64271.28,44,Male,Third-party Dealer,Cash,Delivered,4,60,507.2,7.75,No,3,No,No
SALE100073,Model Y,Red,2021,2022,California,38917.46,18,Female,In-store,Lease,Cancelled,25,75,457.1,2.39,Yes,5,No,No
SALE100074,Model 3,White,2020,2023,Texas,43344.52,62,Female,In-store,Cash,Delivered,4,85,523.6,10.85,No,5,No,Yes
SALE100075,Model Y,Red,2017,2021,California,40265.65,23,Male,Online,Lease,Delivered,8,60,431.7,2.44,No,5,No,Yes
SALE100076,Model Y,Red,2024,2022,California,58327.18,50,Male,In-store,Cash,Delivered,10,85,470.9,11.88,No,2,No,No
SALE100077,Model 3,Blue,2024,2021,California,36769.77,72,Male,Online,Loan,Delivered,21,100,269.8,2.5,No,6,No,No
SALE100078,Model Y,White,2024,2021,California,38820.23,50,Male,Online,Lease,Delivered,22,85,460.5,1.48,Yes,4,No,No
SALE100079,Model 3,White,2019,2019,Florida,51217.49,51,Male,In-store,Cash,Delivered,24,100,485.7,1.95,Yes,2,Yes,No
SALE100080,Model S,Red,2022,2020,Texas,49387.98,19,Female,Online,Loan,Delivered,18,60,534.6,2.19,Yes,4,No,No
SALE100081,Model 3,Silver,2024,2021,California,61839.58,67,Female,Online,Loan,Delivered,17,100,452.2,2.42,No,6,No,No
SALE100082,Model X,Red,2016,2024,California,56841.24,72,Female,Online,Loan,Delivered,9,60,383.2,5.4,Yes,4,No,No
SALE100083,Model S,Black,2017,2019,Florida,88001.93,62,Female,Online,Cash,Delivered,5,60,428,10.27,Yes,7,Yes,No
SALE100084,Model Y,Black,2020,2019,Illinois,61220.07,23,Male,In-store,Loan,Delivered,1,100,433,11.63,Yes,5,Yes,No
SALE100086,Model Y,Silver,2020,2019,California,60775.83,63,Male,Online,Cash,Delivered,1,100,377.8,3.04,Yes,3,No,No
SALE100087,Model 3,Blue,2017,2020,Texas,57419.51,46,Male,Online,Lease,Delivered,29,100,397.3,4.83,No,2,No,No
SALE100088,Model 3,Silver,2020,2022,New York,48469.31,41,Male,Third-party Dealer,Lease,Delivered,27,100,590.7,8.54,No,5,No,No
SALE100089,Model X,White,2022,2020,Florida,48761.12,28,Male,In-store,Lease,Delivered,17,60,457.3,4.75,Yes,4,Yes,No
SALE100090,Model S,Blue,2019,2021,California,99870.33,51,Female,In-store,Lease,Delivered,8,75,561.1,1.2,Yes,5,No,No
SALE100091,Model Y,Silver,2024,2021,California,77201.19,39,Female,In-store,Lease,Delivered,14,60,324,3.67,Yes,4,No,No
SALE100092,Model 3,White,2024,2022,Illinois,42481.84,32,Male,Third-party Dealer,Cash,Delivered,12,100,460.9,10.99,Yes,5,No,No
SALE100093,Model 3,Silver,2022,2020,Texas,67767.35,21,Male,Third-party Dealer,Cash,Delivered,1,100,460.5,5.66,No,3,No,No
SALE100094,Model S,Red,2022,2020,California,69415.03,34,Male,In-store,Lease,Delivered,21,60,565.1,10.76,No,5,No,No
SALE100095,Model Y,Black,2019,2020,California,43086.68,29,Female,In-store,Lease,Delivered,12,100,414.7,8.73,Yes,4,No,No
SALE100097,Model Y,Silver,2017,2022,Florida,62602.25,21,Male,Online,Loan,Delivered,21,85,454.1,8.58,Yes,2,No,No
SALE100098,Model 3,White,2022,2022,California,48091.55,57,Male,In-store,Loan,Delivered,20,85,445.3,3.75,Yes,7,No,No
SALE100100,Model 3,Red,2020,2020,New York,34097.49,32,Male,In-store,Lease,Delivered,26,100,421,9.76,No,5,Yes,No
SALE100101,Model 3,Silver,2016,2018,New York,75615.45,74,Female,Online,Lease,Delivered,29,75,560.9,10.21,No,5,No,No
SALE100102,Cybertruck,Red,2020,2022,Texas,69790.18,46,Male,In-store,Cash,Delivered,28,75,405.4,7.25,No,5,No,Yes
SALE100103,Model 3,Blue,2021,2019,Texas,37667.17,43,Male,Online,Lease,Delivered,11,75,464.4,4.84,Yes,5,Yes,No
SALE100104,Model 3,Black,2017,2024,New York,29476.93,45,Male,Online,Loan,Delivered,10,75,491.4,9.57,Yes,5,Yes,No
SALE100105,Model S,Silver,2024,2021,California,43347.7,22,Male,Online,Lease,Delivered,4,75,402.1,5.13,No,7,No,No
SALE100106,Model Y,Black,2024,2021,California,51771.6,46,Female,Online,Lease,Delivered,12,75,371.7,7.95,Yes,5,No,Yes
SALE100107,Model Y,Black,2024,2022,California,75434.02,31,Male,In-store,Cash,Delivered,20,60,418.4,3.89,No,7,No,No
SALE100108,Model Y,Black,2019,2020,California,60829.65,18,Female,In-store,Cash,Delivered,14,100,506.9,6.49,Yes,7,Yes,No
SALE100109,Model Y,Silver,2024,2019,California,44931.9,28,Female,In-store,Loan,Delivered,11,60,355.1,10.22,Yes,2,No,No
SALE100110,Model 3,Red,2020,2019,Texas,49458.44,39,Female,Online,Cash,Delivered,21,75,454.4,5.03,Yes,5,No,No
SALE100111,Model X,Blue,2021,2021,Texas,42125.79,22,Female,In-store,Loan,Delivered,21,100,354.1,5.76,Yes,6,No,No
SALE100112,Model 3,White,2020,2023,Texas,47402.74,23,Male,Online,Cash,Delivered,6,100,435.3,2.26,Yes,5,No,No
SALE100113,Model X,Silver,2024,2023,Texas,74406.91,32,Male,Online,Loan,Delivered,25,85,390.6,2.58,No,6,No,No
SALE100114,Model 3,White,2021,2023,California,56360.39,61,Female,Online,Lease,Delivered,18,100,553.1,2.53,No,7,No,No
SALE100115,Model S,Silver,2024,2022,California,51326.13,44,Male,Online,Cash,Delivered,4,50,475.4,0.55,Yes,6,No,No
SALE100116,Model 3,Blue,2021,2021,California,44052.35,30,Male,In-store,Cash,Delivered,13,60,387.3,7.4,Yes,3,No,No
SALE100117,Model 3,Blue,2024,2023,Texas,32819.64,36,Female,In-store,Cash,Pending,22,85,424.5,10.09,Yes,5,No,No
SALE100118,Model 3,Blue,2024,2022,Texas,55148.28,50,Male,Online,Cash,Delivered,7,60,566.2,5.37,Yes,7,No,No
SALE100119,Model Y,Black,2024,2022,New York,52527.02,73,Male,Online,Cash,Delivered,23,75,501,9.49,No,5,No,No
SALE100120,Model X,Blue,2024,2023,Texas,54294.56,18,Female,Online,Cash,Delivered,9,85,351.7,5.57,Yes,5,No,No
SALE100121,Model Y,Silver,2023,2023,Texas,59648.68,61,Male,Online,Cash,Pending,13,60,319.4,10.77,Yes,5,Yes,No
SALE100122,Model 3,Black,2021,2022,Illinois,66295.61,66,Female,Third-party Dealer,Lease,Delivered,14,75,425.1,2.05,Yes,5,No,No
SALE100124,Model Y,Black,2024,2022,New York,55824.34,38,Male,Online,Lease,Delivered,15,100,470.4,2.35,No,5,No,No
SALE100125,Model Y,Black,2024,2022,California,71197.71,53,Male,In-store,Lease,Delivered,28,60,479.9,11.02,No,5,No,No
SALE100126,Model Y,Black,2024,2023,New York,28399.1,66,Female,Online,Cash,Delivered,11,85,418.4,5.44,No,7,No,No
SALE100127,Model S,White,2024,2022,Florida,50957.86,65,Female,In-store,Loan,Pending,7,100,461.5,10.28,Yes,5,Yes,No
SALE100128,Model X,White,2024,2023,California,55549.52,40,Female,In-store,Cash,Pending,12,75,485.5,2.53,Yes,2,No,No
SALE100129,Model 3,Blue,2020,2018,New York,54357.56,20,Female,Online,Lease,Delivered,13,85,455.1,2.69,Yes,7,Yes,No
SALE100130,Model X,White,2018,2022,Illinois,48821.17,41,Female,Online,Loan,Pending,22,60,507.4,1.63,No,4,No,No
SALE100131,Cybertruck,White,2017,2020,Texas,68532.56,50,Male,Online,Lease,Cancelled,22,60,437.6,11.32,No,4,Yes,No
SALE100132,Model 3,Black,2024,2022,California,63901.69,19,Male,Online,Lease,Delivered,13,85,580.6,9.77,Yes,3,No,No
SALE100133,Model Y,White,2024,2023,Florida,43267.5,24,Female,In-store,Loan,Delivered,12,100,461.4,0.59,Yes,5,No,No
SALE100134,Model 3,White,2018,2022,Texas,67137.07,74,Female,Online,Lease,Delivered,4,75,540,10.69,Yes,5,No,No
SALE100135,Model Y,White,2020,2024,Washington,54659.12,60,Male,In-store,Cash,Delivered,12,60,484.6,2.55,Yes,4,No,No
SALE100136,Model Y,Red,2024,2021,Washington,49333.02,55,Male,In-store,Cash,Delivered,20,100,431.3,6.24,No,3,No,No
SALE100137,Model 3,Silver,2021,2019,California,67796.7,28,Male,Online,Lease,Delivered,24,60,503.7,5.52,Yes,5,No,Yes
SALE100138,Model 3,Silver,2024,2020,Washington,40774.97,51,Male,Online,Loan,Delivered,12,50,501,6.67,Yes,5,Yes,No
SALE100139,Model 3,White,2017,2023,New York,42133.48,43,Male,In-store,Cash,Delivered,17,60,501.2,5.28,Yes,5,No,No
SALE100140,Model Y,Black,2024,2020,Texas,34183.6,67,Female,In-store,Lease,Delivered,27,100,526.6,10.93,Yes,4,No,No
SALE100141,Model Y,Silver,2024,2021,California,25636.42,69,Male,Online,Loan,Delivered,1,100,471.1,1.03,No,5,No,Yes
SALE100142,Model Y,White,2021,2023,California,20897.14912,46,Male,Online,Lease,Delivered,29,85,429.1,4.07,No,4,No,No
SALE100143,Model X,White,2023,2023,Illinois,69406.51,63,Male,Online,Loan,Delivered,5,85,374,5,Yes,5,No,Yes
SALE100144,Model Y,Black,2024,2020,Texas,64765.05,33,Female,Online,Loan,Cancelled,5,50,525.9,11.69,Yes,3,No,No
SALE100145,Model Y,Black,2024,2022,Illinois,69569.11,28,Male,Third-party Dealer,Loan,Delivered,16,85,437.1,1.13,No,2,No,No
SALE100146,Model Y,Blue,2024,2021,California,62518.22,52,Male,Online,Lease,Delivered,2,60,361,4.39,No,4,No,No
SALE100147,Model 3,Blue,2024,2022,Texas,50957.34,52,Male,In-store,Lease,Delivered,16,85,328.9,5.97,No,5,No,No
SALE100148,Model Y,Red,2021,2020,Texas,71864.15,31,Male,In-store,Loan,Pending,6,85,364.7,8.91,No,5,Yes,No
SALE100149,Model Y,Silver,2023,2024,Florida,53746.17,43,Female,In-store,Cash,Delivered,8,100,345.8,7.38,No,5,Yes,No
SALE100150,Model Y,White,2020,2024,California,58561.11,66,Female,Online,Cash,Delivered,1,60,396.2,3.37,Yes,5,No,No
SALE100151,Cybertruck,Silver,2024,2023,Florida,43854.08,38,Male,In-store,Cash,Delivered,10,75,338.7,10.35,Yes,5,No,No
SALE100152,Model Y,Blue,2020,2023,Illinois,48347.64,60,Female,Online,Lease,Delivered,2,60,421.1,3.72,No,5,Yes,No
SALE100153,Model Y,Black,2023,2024,Texas,79612.33,27,Male,Online,Cash,Delivered,6,85,400.6,8.43,Yes,4,No,No
SALE100154,Model S,Black,2024,2023,Texas,51055.23,61,Female,Online,Cash,Delivered,5,75,360,6.95,No,6,No,Yes
SALE100155,Model Y,Black,2024,2019,California,77854.81,25,Female,Online,Loan,Pending,12,100,481.4,6.38,Yes,5,No,Yes
SALE100156,Cybertruck,Silver,2021,2018,Illinois,46720.51,35,Male,Online,Lease,Delivered,29,75,522.7,9.24,No,5,No,No
SALE100157,Model Y,White,2018,2023,California,50985.79,26,Female,Online,Cash,Delivered,20,75,470,6.6,No,6,No,Yes
SALE100158,Model 3,Black,2020,2022,Texas,55778.67,41,Male,Online,Cash,Delivered,26,60,433.9,1.54,Yes,7,No,No
SALE100159,Model 3,Silver,2017,2021,Florida,27274.49,55,Male,In-store,Cash,Delivered,20,75,540.8,7.87,Yes,5,Yes,Yes
SALE100160,Model 3,Black,2021,2019,California,39922.57,72,Male,Online,Lease,Delivered,25,85,442.2,6.23,No,5,No,No
SALE100161,Model 3,White,2024,2021,California,68383.21,31,Male,Third-party Dealer,Lease,Pending,3,75,476.1,8.58,No,5,Yes,No
SALE100162,Model 3,Black,2024,2020,California,67929.5,28,Male,Online,Lease,Delivered,11,60,477.8,3.87,Yes,4,No,No
SALE100163,Model Y,Black,2024,2022,New York,52516.65,33,Female,Online,Loan,Cancelled,11,85,574.6,3.59,Yes,5,No,No
SALE100164,Model 3,Blue,2024,2023,Texas,71331.01,44,Female,In-store,Lease,Delivered,23,60,464,1.08,Yes,5,Yes,No
SALE100165,Model 3,Silver,2023,2020,California,31020.6,28,Female,In-store,Loan,Delivered,29,75,384.2,4.24,Yes,5,Yes,No
SALE100166,Model 3,White,2019,2023,California,50676.96,71,Female,Online,Cash,Delivered,21,50,361.8,4.19,No,5,No,No
SALE100167,Model 3,Red,2023,2022,New York,73770.95,51,Female,Online,Cash,Delivered,21,60,426,3.78,No,6,No,No
SALE100168,Model Y,Black,2024,2018,Texas,58564.49,60,Male,In-store,Lease,Delivered,1,75,437.9,2.78,No,2,No,No
SALE100169,Model S,Blue,2024,2019,California,71104.73,20,Female,Online,Cash,Pending,6,85,427.4,11.98,Yes,5,No,No
SALE100170,Model Y,White,2024,2022,Illinois,54759.27,74,Male,In-store,Cash,Delivered,20,85,464.6,5.39,Yes,5,No,No
SALE100171,Model Y,Silver,2020,2020,Illinois,60685.97,26,Male,Online,Lease,Delivered,23,85,468.5,0.6,Yes,5,No,No
SALE100172,Cybertruck,White,2023,2019,California,25288.66,54,Female,Online,Loan,Delivered,26,100,380.8,7.62,No,5,No,No
SALE100173,Model 3,Silver,2024,2022,Washington,39351.79,38,Female,Online,Lease,Delivered,25,75,382.9,1.12,Yes,4,No,No
SALE100174,Model X,Blue,2024,2018,California,61645.02,27,Female,Online,Loan,Delivered,22,75,414.5,2.97,Yes,5,Yes,No
SALE100175,Model 3,Black,2021,2019,California,62046.11,35,Male,In-store,Loan,Pending,26,85,555,10.13,No,2,No,No
SALE100176,Cybertruck,Black,2024,2022,Texas,62850.33,25,Female,Online,Loan,Delivered,25,100,485.2,1.17,Yes,5,No,No
SALE100177,Model Y,Silver,2024,2020,Texas,62257.26,49,Male,In-store,Lease,Delivered,24,60,554.5,3.24,Yes,4,No,No
SALE100178,Model X,White,2015,2020,Texas,57376.33,34,Female,In-store,Lease,Delivered,8,75,451.4,7.31,No,5,No,No
SALE100179,Model Y,Black,2020,2024,California,46700.21,65,Female,Third-party Dealer,Lease,Delivered,9,75,340.4,6.52,No,7,No,No
SALE100180,Cybertruck,Silver,2023,2022,New York,47183.21,19,Male,Online,Cash,Delivered,2,85,590.8,3.49,Yes,6,No,No
SALE100181,Model 3,Black,2021,2019,Texas,31357.57,55,Male,Online,Loan,Delivered,28,50,431.1,11.46,No,6,No,No
SALE100182,Model Y,White,2024,2019,California,35642.16,60,Female,Online,Lease,Pending,14,50,527.1,3.02,No,3,Yes,No
SALE100183,Model S,Red,2018,2021,New York,49539.26,44,Male,Online,Loan,Delivered,21,85,496.3,7.98,No,4,No,No
SALE100184,Model S,Black,2024,2021,California,45864.23,27,Male,Online,Cash,Delivered,21,75,293.5,3.25,No,5,Yes,No
SALE100185,Model Y,Red,2024,2022,California,67914.31,55,Male,Third-party Dealer,Lease,Pending,13,75,423,5.03,Yes,6,Yes,No
SALE100186,Model Y,White,2019,2022,Florida,64048.79,43,Female,In-store,Cash,Delivered,26,60,390.9,4.55,Yes,5,No,No
SALE100187,Model S,Silver,2020,2024,California,92456.89,29,Male,Online,Lease,Delivered,15,75,509.3,7.94,Yes,5,No,No
SALE100188,Model 3,Silver,2023,2019,Illinois,68848.13,36,Male,In-store,Loan,Delivered,26,100,340.7,0.58,No,5,No,No
SALE100189,Model Y,Blue,2024,2022,California,41558.83,39,Female,In-store,Cash,Delivered,25,75,337.1,11.87,No,5,Yes,No
SALE100190,Model 3,White,2021,2019,California,41965.24,23,Female,In-store,Cash,Pending,10,100,475.1,10.56,No,7,No,Yes
SALE100191,Model Y,Red,2019,2023,Texas,78168.73,58,Female,Online,Lease,Delivered,24,75,487.8,6.06,Yes,5,No,No
SALE100192,Model 3,Black,2024,2018,Florida,62038.95,53,Female,Online,Loan,Delivered,2,100,475.5,5.35,No,4,No,No
SALE100194,Model X,Black,2024,2020,Texas,56640.88,38,Female,In-store,Lease,Delivered,4,50,305.9,9.71,No,6,No,No
SALE100195,Model 3,Black,2023,2022,California,48261.22,29,Female,Online,Loan,Delivered,13,75,360.3,11.6,No,3,No,No
SALE100196,Model Y,Blue,2022,2018,Illinois,25494.38,34,Male,In-store,Cash,Pending,15,100,341.5,8.87,Yes,3,No,No
SALE100197,Model 3,White,2024,2022,Florida,76806.15,35,Male,In-store,Cash,Delivered,8,60,411.8,7.72,Yes,3,No,No
SALE100198,Model S,White,2018,2022,California,50282.88,69,Male,Online,Loan,Delivered,1,50,439.6,9.74,No,6,Yes,No
SALE100199,Model 3,Silver,2022,2023,Washington,50809.12,28,Female,Online,Cash,Delivered,21,85,471.2,10,No,6,No,No
SALE100201,Model 3,Blue,2019,2023,Illinois,44123.51,48,Female,Third-party Dealer,Cash,Delivered,11,75,554.9,11.51,Yes,5,No,Yes
SALE100202,Model Y,Black,2018,2024,Washington,4636.2,63,Male,Online,Cash,Pending,9,85,563.4,9.2,Yes,3,No,No
SALE100203,Model X,Black,2024,2023,Illinois,65831.15,55,Female,Online,Loan,Delivered,27,75,341.1,6.95,Yes,5,No,No
SALE100204,Model 3,Silver,2017,2019,California,62538.21,31,Male,Third-party Dealer,Lease,Delivered,11,60,330.7,8.4,Yes,6,Yes,No
SALE100205,Model 3,White,2024,2024,California,89269.47,59,Male,Online,Loan,Delivered,17,75,406.2,9.93,Yes,7,No,No
SALE100206,Model X,Red,2024,2020,New York,69135.3,48,Female,Online,Lease,Delivered,11,85,528.7,10.33,Yes,7,Yes,No
SALE100207,Model S,Red,2023,2022,California,64033.93,67,Female,Online,Loan,Delivered,26,75,503.4,3.4,Yes,7,Yes,No
SALE100208,Model Y,Black,2023,2023,California,38447.48,43,Female,Online,Loan,Delivered,21,60,458.4,11.48,No,7,No,No
SALE100209,Model Y,White,2019,2022,California,54814.83,63,Male,Online,Cash,Delivered,23,60,448,6.21,Yes,5,No,No
SALE100210,Model Y,White,2023,2020,California,59311.49,55,Female,Online,Lease,Delivered,28,100,473.7,11.82,No,3,No,No
SALE100211,Model 3,Black,2024,2020,Washington,52301.59,35,Male,In-store,Loan,Pending,20,75,493.5,6.96,Yes,4,No,No
SALE100212,Model 3,Black,2024,2020,Texas,58454.11,50,Male,In-store,Lease,Delivered,10,75,614.4,11.41,No,7,Yes,No
SALE100214,Model 3,White,2024,2020,Illinois,59566.11,62,Male,Online,Cash,Delivered,18,100,477,4.87,Yes,4,No,No
SALE100215,Model S,Silver,2017,2018,Texas,80078.98,21,Male,Online,Lease,Delivered,2,50,500.5,7.15,No,7,No,Yes
